,count,word
2969,3,types
2625,3,tension
2586,3,benefit
3319,3,crippling
2874,3,regular
1802,3,held
2804,3,determined
2738,3,enjoy
2413,3,initially
2414,3,saddened
6103,3,"professors,"
1891,3,profound.
2417,3,"syndrome,"
3380,3,session
3378,3,normalized
2477,3,assholes
2419,3,"self-loathing,"
3374,3,arrived
2003,3,faculty.
2424,3,daily.
2743,3,"colleague,"
2806,3,behaviors
2412,3,abuse.
2486,3,potential
2813,3,bias
3403,3,recover
3414,3,profound
6338,3,guessing
3410,3,gain
1872,3,pushed
2026,3,deserved
2710,3,students).
2821,3,awareness
2814,3,gaslighting
1876,3,disgust.
3399,3,self-blame.
2024,3,cold
2820,3,situational
3394,3,common
6768,3,consented
3372,3,closed
2802,3,warned
2699,3,academics.
2468,3,side.
3342,3,crossing
1974,3,outcome
6527,3,attitude
3290,3,commit
2776,3,"confusion,"
3293,3,"betrayal,"
1931,3,referred
1934,3,"hand,"
1965,3,"paper,"
1964,3,bullying
3331,3,professional.
1939,3,disgusted.
1963,3,combined
6529,3,elevated
3303,3,studies
6535,3,perpetrators
2775,3,conferences.
2774,3,paths
1991,3,scientist
3275,3,stress-related
2799,3,normal.
1994,3,factor
2759,3,behaved
3278,3,dread
2464,3,ran
3353,3,for.
3289,3,openly
1988,3,gaslit
1918,3,uncertain
2772,3,irritating
3350,3,adds
6098,3,calling
2438,3,context
2704,3,expose
3417,3,mentoring
3154,3,prozac
2873,3,"safe,"
6311,3,"flashbacks,"
1822,3,industry
6163,3,rethink
2659,3,admired
3164,3,called
1826,3,"assault,"
2532,3,pretend
2530,3,care
3454,3,stuff
2881,3,personality
3453,3,afford
3449,3,plan
2099,3,persistent
2353,3,"phd,"
1947,3,proposition
2332,3,reliving
2538,3,forgotten
2655,3,opportunity
1809,3,intrusive
3157,3,smart
2322,3,too.
3471,3,unhealthy
2911,3,emotions
2640,3,hospitalized
3470,3,"better,"
3467,3,medication.
2903,3,memories
3159,3,intellectual.
2910,3,upon
2652,3,refused
1814,3,esp
1816,3,"distress,"
2654,3,debt
3181,3,"one,"
2358,3,"instead,"
3255,3,"fortunately,"
3438,3,misogyny
2679,3,"intelligence,"
2516,3,"ended,"
2048,3,community
3238,3,largely
2043,3,different.
3250,3,"""allowed"""
1858,3,truly
2836,3,possible.
2834,3,remainder
3252,3,success
3422,3,intimate
3421,3,build
2691,3,week.
3420,3,date
3418,3,engaging
3234,3,hospital
2051,3,perfect
3228,3,they're
3200,3,place.
2369,3,managing
3434,3,"resentment,"
3196,3,ones
2670,3,masters
1843,3,support.
3428,3,sleep.
3202,3,long.
3225,3,classic
3427,3,understanding
2077,3,anxiety/depression
2073,3,"drinking,"
3214,3,cohort
3221,3,harmful
2058,3,otherwise
2233,3,motive
2598,3,"issues,"
5918,3,unsettling
1200,3,avoidance
521,3,quickly
1222,3,acknowledge
4070,3,partly
5647,3,specific
1231,3,jobs
4680,3,gossip
4682,3,FALSE
4699,3,managed
