,id,tag
735,1470,"['therapy', 'therapy', 'therapy']"
736,1473,['struggling']
737,1475,['fear']
738,1478,['worse']
739,1479,['lost']
740,1483,"['abusive', 'struggling']"
741,1485,['stressful']
742,1489,['therapy']
743,1490,['unsafe']
744,1491,"['fear', 'stressful']"
745,1496,"['anxiety', 'unsafe', 'worried']"
746,1498,"['anxiety', 'depression']"
747,1499,"['abusive', 'depression', 'depression', 'panic']"
748,1501,"['shame', 'fear', 'worried']"
749,1502,"['anxiety', 'bad']"
750,1503,"['depression', 'shame']"
751,1505,"['fear', 'struggling', 'struggling']"
752,1506,['lonely']
753,1507,['lost']
754,1508,['stressful']
755,1511,['fear']
756,1512,['therapy']
757,1515,['anxiety']
758,1519,"['unsafe', 'bad']"
759,1520,['anxiety']
760,1522,['fear']
761,1525,['therapy']
762,1529,"['fear', 'lonely']"
763,1531,"['depression', 'ptsd', 'ptsd', 'therapy']"
764,1533,['angry']
765,1538,"['anxiety', 'wary']"
766,1539,"['angry', 'angry']"
767,1541,"['anxiety', 'anxiety']"
768,1542,"['doubted', 'doubted', 'doubted', 'doubted', 'worried']"
769,1543,"['abusive', 'angry']"
770,1545,['lonely']
771,1546,['doubted']
772,1548,['doubted']
773,1549,['depression']
774,1552,"['anxiety', 'depression', 'sufferring', 'sufferring']"
775,1553,['depression']
776,1554,['stressful']
777,1555,"['doubted', 'therapy']"
778,1557,['anxiety']
779,1563,"['anxiety', 'depression', 'struggling', 'struggling', 'sufferring', 'sufferring', 'worse']"
780,1566,['stressful']
781,1567,['lonely']
782,1569,['lonely']
783,1570,['lonely']
784,1572,"['angry', 'angry']"
785,1573,"['anxiety', 'anxiety', 'depression', 'depression', 'lost', 'stressful', 'stressful']"
786,1574,['anxiety']
787,1575,['bad']
788,1580,"['lost', 'stressful', 'worried']"
789,1581,['struggling']
790,1582,"['abusive', 'anxiety', 'stressful', 'suicidal']"
791,1583,['blamed']
792,1584,['lonely']
793,1585,['angry']
